Population,Region,Coordinates,Latitude,Longitude,Anatolian Neolithic Farmer,Caucasus Hunter Gatherer,Zagrosian Neolithic Farmer,Natufian Hunter Gatherer,Eastern Hunter Gatherer,Western Hunter Gatherer,North African Neolithic Farmer,Ancient Ancestral South Indian,Amerindian,Melanesian,Australian Hunter Gatherer,Southeast Asian Neolithic Farmer,Arctic Hunter Gatherer,Amur River Hunter Gatherer,Jomon Hunter Gatherer,Yellow River Neolithic Farmer,East African Hunter Gatherer,South African Hunter Gatherer,West African Hunter Gatherer
Americas:Amerindian:Ashaninka,America,"-11.9311,-73.9073",-11.9311,-73.9073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Aymara*(Bolivia),America,"-17.0,-68.5",-17.0,-68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Aymara*(Peru),America,"-17.1417,-70.3442",-17.1417,-70.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Aymara*(Titicaca),America,"-15.825,-69.325",-15.825,-69.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Cachi*(Ecuador),America,"0.71489,-79.0508",0.71489,-79.0508,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Cashibo*(Peru),America,"-8.70232,-75.4206",-8.70232,-75.4206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Chipewyan,America,"58.98,-104.44",58.98,-104.44,0.0,0.6,0.0,0.0,4.6,0.0,0.0,0.0,57.8,0.0,0.0,2.2,28.0,6.8,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Colla,America,"-11.14278,-76.73046",-11.14278,-76.73046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Huambisa,America,"-3.99109,-77.9797",-3.99109,-77.9797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Huichol*(Mexico),America,"21.954,-104.062",21.954,-104.062,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.2,93.6,0.0,0.0,0.0,3.6,0.0,0.0,1.0,0.0,0.0,0.0
Americas:Amerindian:Karitiana*(Brazil),America,"-9.37937,-64.1522",-9.37937,-64.1522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Maya,America,"18.7757,-88.9567",18.7757,-88.9567,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Maya*(Tzotzil),America,"16.6362,-92.7388",16.6362,-92.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Americas:Amerindian:Mixe*(Mexico),America,"17.2157,-96.0179",17.2157,-96.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
Americas:Amerindian:Mixtec*(Mexico),America,"17.144191,-97.763219",17.144191,-97.763219,0.0,0.0,0.0,1.6,0.6,0.2,0.0,0.0,94.2,0.0,0.6,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0
Americas:Amerindian:Nahua*(Mexico),America,"17.8583,-99.0023",17.8583,-99.0023,0.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0
Americas:Amerindian:North*Amerindian,America,"36.2862,-96.8937",36.2862,-96.8937,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,68.0,0.0,0.0,1.2,26.2,2.2,0.0,0.0,0.0,0.0,0.0
