Population,Region,Latitude,Longitude,Ancient North Eurasian,Basal East Eurasian,Caucasus Dzudzuana,East African Hunter Gatherer,East Eurasian,South African Hunter Gatherer,West African Hunter Gatherer,Western Hunter Gatherer
Americas:Amerindian:Ashaninka,America,-11.9311,-73.9073,51,0,0,0,49,0,0,0
Americas:Amerindian:Aymara*(Bolivia),America,-17,-68.5,52.4,0,0,0,47.6,0,0,0
Americas:Amerindian:Aymara*(Peru),America,-17.1417,-70.3442,51.4,0,0,0,48.6,0,0,0
Americas:Amerindian:Aymara*(Titicaca),America,-15.825,-69.325,52.2,0,0,0,47.8,0,0,0
Americas:Amerindian:Cachi*(Ecuador),America,0.71489,-79.0508,53.2,0,0,0,46.8,0,0,0
Americas:Amerindian:Cashibo*(Peru),America,-8.70232,-75.4206,51.6,0,0,0,48.4,0,0,0
Americas:Amerindian:Chipewyan,America,58.98,-104.44,43.2,0,0,0,56.8,0,0,0
Americas:Amerindian:Colla,America,-11.14278,-76.73046,53.6,0,0,0,46.4,0,0,0
Americas:Amerindian:Huambisa,America,-3.99109,-77.9797,50.6,0,0,0,49.4,0,0,0
Americas:Amerindian:Huichol*(Mexico),America,21.954,-104.062,51.2,0,0,0,48.8,0,0,0
Americas:Amerindian:Karitiana*(Brazil),America,-9.37937,-64.1522,52.8,0,0,0,47.2,0,0,0
Americas:Amerindian:Maya,America,18.7757,-88.9567,52.4,0,0,0,47.6,0,0,0
Americas:Amerindian:Maya*(Tzotzil),America,16.6362,-92.7388,50.2,0,0,0,49.8,0,0,0
Americas:Amerindian:Mixe*(Mexico),America,17.2157,-96.0179,49.4,0,0,0,50.6,0,0,0
Americas:Amerindian:Mixtec*(Mexico),America,17.144191,-97.763219,51.6,0,0,0,48.4,0,0,0
Americas:Amerindian:Nahua*(Mexico),America,17.8583,-99.0023,51,0,0,0,49,0,0,0
Americas:Amerindian:North*Amerindian,America,36.2862,-96.8937,43.4,0,0,0,56.6,0,0,0
Americas:Amerindian:Piapoco,America,4.37718,-68.5953,51,0,0,0,49,0,0,0
Americas:Amerindian:Pima,America,31.7973,-111.995,49.8,0,0,0,50.2,0,0,0
Americas:Amerindian:Quechua*(Peru),America,-13.84714,-74.32246,53,0,0,0,47,0,0,0
Americas:Amerindian:Quechua*(Titicaca),America,-14.608,-70.2084,52.4,0,0,0,47.6,0,0,0
Americas:Amerindian:Shipibo*(Peru),America,-7.17105,-74.8219,51.4,0,0,0,48.6,0,0,0
Americas:Amerindian:Suru*(Brazil),America,-11.0989,-61.2818,52.6,0,0,0,47.4,0,0,0
Americas:Amerindian:Totonac*(Mexico),America,20.1765,-96.8741,51,0,0,0,49,0,0,0
Americas:Amerindian:Uros*(Peru),America,-16.72547,-68.97119,52.2,0,0,0,47.8,0,0,0
Americas:Amerindian:Wichi,America,-23.1633,-62.1757,51.8,0,0,0,48.2,0,0,0
Americas:Amerindian:Yukpa,America,9.67534,-73.0557,51,0,0,0,49,0,0,0
Americas:Amerindian:Zapotec*(Mexico),America,16.8258,-96.7263,51.8,0,0,0,48.2,0,0,0
Americas:Arctic:Eskimo,East Asia,69.582,-143.77,29,0,0,0,71,0,0,0
Americas:Arctic:Eskimo*(Chaplin),East Asia,63.4308,-170.272,27.6,0,0,0,72.4,0,0,0
Americas:Arctic:Eskimo*(Naukan),East Asia,65.5184,-171.755,30.4,0,0,0,69.6,0,0,0
Americas:Arctic:Eskimo*(Sireniki),East Asia,64.5192,-173.925,28.2,0,0,0,71.8,0,0,0
Balochi*and*Brahui:Balochi:Balochi,Central/South Asia,28,62,46,11.6,39.4,3,0,0,0,0
Balochi*and*Brahui:Balochi:Makrani,Central/South Asia,26,64,42.6,9.4,41.8,5.8,0,0,0.4,0
Balochi*and*Brahui:Brahui:Brahui,Central/South Asia,29.04,66.56,45.4,12.4,39.2,3,0,0,0,0
Baltic*Finnic:Estonia:Estonian,Europe,58.55,25.82,36.6,0,38.4,0,0,0,0,25
Baltic*Finnic:Finland:Finnish*(Central),Europe,62.5,25.5,41.4,0,36.6,0,0,0,0,22
Baltic*Finnic:Finland:Finnish*(East),Europe,61.68333333,27.26666667,43.4,0,34.2,0,0,0,0,22.4
Baltic*Finnic:Finland:Finnish*(North),Europe,67,26,42.6,0,35.2,0,0.2,0,0,22
Baltic*Finnic:Finland:Finnish*(Southeast),Europe,61,28,39.8,0,37.6,0,0,0,0,22.6
Baltic*Finnic:Finland:Finnish*(Southwest),Europe,60.16666667,22.73333333,38.8,0,39.2,0,0,0,0,22
Baltic*Finnic:Russia:Ingrian,Europe,59.47403,29.71145,40.8,0,37,0,0,0,0,22.2
Baltic*Finnic:Russia:Karelian,Europe,65.1691,30.8655,42.8,0,34.4,0,0.4,0,0,22.4
Baltic*Finnic:Russia:Vepsian,Europe,60.3353,34.7865,42.6,0,34.8,0,1.2,0,0,21.4
Bashkir*and*Siberian*Tatar:Bashkir:Bashkir,Central/South Asia,53.59671,56.55937,40.2,0,23.2,0,34,0,0,2.6
Bashkir*and*Siberian*Tatar:Bashkir:Bashkir*(Baimaksky),Central/South Asia,52.6,58.31666667,41.6,0,22,0,34.8,0,0,1.6
Bashkir*and*Siberian*Tatar:Bashkir:Bashkir*(Kugarchinsky),Central/South Asia,52.71666667,56.63333333,40.6,0,23.2,0,34,0,0,2.2
Bashkir*and*Siberian*Tatar:Siberian*Tatar:Siberian*Tatar*(Iskero-Tobolsk),Central/South Asia,58.2,68.26666667,38.8,0,19.2,0,41,0,0,1
Bashkir*and*Siberian*Tatar:Siberian*Tatar:Siberian*Tatar*(Tomsk),Central/South Asia,56.5,84.96666667,34.2,0,22.8,0,38.8,0,0,4.2
Bashkir*and*Siberian*Tatar:Siberian*Tatar:Siberian*Tatar*(Yalutorovsky),Central/South Asia,56.66666667,66.3,41.2,0,22.6,0,33.8,0,0,2.4
Central*Asia:Hazara:Hazara*(Afghanistan),Central/South Asia,33.3708,64.5105,32,3.4,23.4,0,41.2,0,0,0
Central*Asia:Kazakh:Kazakh,Central/South Asia,51.17,71.454,24.4,0,18.4,0,57.2,0,0,0
Central*Asia:Kazakh:Kazakh*(Kazakhstan),Central/South Asia,51.16666667,71.43333333,23.4,0,18,0,58.6,0,0,0
Central*Asia:Kazakh:Kazakh*(Omsk),Central/South Asia,54.98333333,73.36666667,22.6,0,16.4,0,60.6,0,0,0.4
Central*Asia:Kyrgyz:Kyrgyz,Central/South Asia,42,74,21,0,14.2,0,64.8,0,0,0
Central*Asia:Kyrgyz:Kyrgyz*(Bishkek),Central/South Asia,42.87472222,74.61222222,21.2,0,14,0,64.8,0,0,0
Central*Asia:Kyrgyz:Kyrgyz*(China),Central/South Asia,39.71611111,76.16833333,21.6,0,13.4,0,65,0,0,0
Central*Asia:Kyrgyz:Kyrgyz*(Tajikistan),Central/South Asia,39.04,73.42,23.8,0,15,0,61.2,0,0,0
Central*Asia:Tajik:Pamiri*(Badakhshan),Central/South Asia,37.49166667,71.55583333,51.4,9.2,36.6,0,2.8,0,0,0
Central*Asia:Tajik:Pamiri*(Ishkashim),Central/South Asia,36.72722222,71.61166667,52,12.2,35.8,0,0,0,0,0
Central*Asia:Tajik:Pamiri*(Rushan),Central/South Asia,38,72.08333333,54.2,1.4,40.2,0,4.2,0,0,0
Central*Asia:Tajik:Pamiri*(Shugnan),Central/South Asia,37.61666667,71.45,54,4.6,38.4,0,3,0,0,0
Central*Asia:Tajik:Tajik,Central/South Asia,38.8213,68.5549,46,1.8,40.4,0,11.8,0,0,0
Central*Asia:Tajik:Tajik*(Ayni),Central/South Asia,39.3975,68.54055556,44.2,2.4,40.8,0,12.6,0,0,0
Central*Asia:Tajik:Tajik*(Hisor),Central/South Asia,38.52638889,68.53805556,46.4,0.4,39.6,0,13.6,0,0,0
